,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
Positive,1.0,0.9797691121949217,0.993843873366388,0.2435283976492293,0.2391048892812921,-0.053170686934550584,0.8300477166308134,0.7881228215452388,-0.1002820143574748,0.815153382537961,0.7130089454942634,-0.4458040703105607,0.7118097836769921
Negative,0.9797691121949217,1.0,0.9847312699417341,0.18390925467580255,0.33152928871063264,-0.14853672788443803,0.8455354480860662,0.7584272842406241,-0.10032499437525992,0.8321302454075341,0.667481416889927,-0.3852698955916516,0.6595919979246384
Total,0.993843873366388,0.9847312699417341,1.0,0.18699691136186872,0.23897097065037057,-0.10272601149499709,0.7988669296209576,0.7417168991324838,-0.09588573540397717,0.7844502287854118,0.665527508729569,-0.40179416419677977,0.6717520961180279
Percentage Positive,0.2435283976492293,0.18390925467580255,0.18699691136186872,1.0,-0.2575185531317853,0.7415771142072985,0.3118504432590936,0.3979022471544317,-0.0730252965078902,0.3071671886750173,0.3883609746851296,-0.389673906855861,0.33707749047446095
Percentage Negative,0.2391048892812921,0.33152928871063264,0.23897097065037057,-0.2575185531317853,1.0,-0.44610089538008246,0.33247497029815054,0.290312766079993,-0.10529909919852039,0.3250241828074937,0.20617398591695332,-0.17319366859310042,0.2500800344185386
Average Sentiment,-0.053170686934550584,-0.14853672788443803,-0.10272601149499709,0.7415771142072985,-0.44610089538008246,1.0,-0.02475415986247389,0.10690025568882539,-0.012553515436852628,-0.023472142930176736,0.16154082097568775,-0.20917044927848583,0.11227243612678975
Cases,0.8300477166308134,0.8455354480860662,0.7988669296209576,0.3118504432590936,0.33247497029815054,-0.02475415986247389,1.0,0.8476561405625807,-0.09670432680010649,0.9986657674197182,0.7456658391884025,-0.35957948978557885,0.5905373196765168
New Cases,0.7881228215452388,0.7584272842406241,0.7417168991324838,0.3979022471544317,0.290312766079993,0.10690025568882539,0.8476561405625807,1.0,-0.08667640211219552,0.8304153308705093,0.948864785903339,-0.7073327523792142,0.8319679569921855
Cases Ratio,-0.1002820143574748,-0.10032499437525992,-0.09588573540397717,-0.0730252965078902,-0.10529909919852039,-0.012553515436852628,-0.09670432680010649,-0.08667640211219552,1.0,-0.09412436884496855,-0.10540555075404241,0.0994195023241687,-0.1249325317908686
Deaths,0.815153382537961,0.8321302454075341,0.7844502287854118,0.3071671886750173,0.3250241828074937,-0.023472142930176736,0.9986657674197182,0.8304153308705093,-0.09412436884496855,1.0,0.7323837467324512,-0.33535562264838564,0.5677952805023813
New Deaths,0.7130089454942634,0.667481416889927,0.665527508729569,0.3883609746851296,0.20617398591695332,0.16154082097568775,0.7456658391884025,0.948864785903339,-0.10540555075404241,0.7323837467324512,1.0,-0.7131801104577213,0.829726167527011
Mobility,-0.4458040703105607,-0.3852698955916516,-0.40179416419677977,-0.389673906855861,-0.17319366859310042,-0.20917044927848583,-0.35957948978557885,-0.7073327523792142,0.0994195023241687,-0.33535562264838564,-0.7131801104577213,1.0,-0.7074044026718891
Google Trends,0.7118097836769921,0.6595919979246384,0.6717520961180279,0.33707749047446095,0.2500800344185386,0.11227243612678975,0.5905373196765168,0.8319679569921855,-0.1249325317908686,0.5677952805023813,0.829726167527011,-0.7074044026718891,1.0
