,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
0,Jan 25 2020,89.0,35.333333333333336,199.33333333333334,0.44648829431438125,0.17725752508361203,0.2104292929292929,2159.6666666666665,662.0,,60.0,18.666666666666668,126.8904629113218,7
1,Jan 26 2020,248.0,113.5,618.25,0.4011322280630813,0.18358269308532146,0.1387037037037037,3014.25,1159.25,1.7511329305135952,77.75,26.25,97.05691020635805,9
2,Jan 27 2020,343.6,150.4,865.2,0.39713361072584374,0.17383263985205732,0.09597745843067765,3644.6,1045.0,0.9014448997196464,88.8,21.4,99.45085889570552,9
3,Jan 28 2020,557.8,251.8,1407.4,0.39633366491402583,0.1789114679550945,0.06311591726574796,5004.6,1360.0,1.3014354066985645,114.6,25.8,101.35834355828221,12
4,Jan 29 2020,783.6,346.6,1957.2,0.40036787247087674,0.17708972000817494,0.062213867262487385,6566.4,1561.8,1.1483823529411765,146.0,31.4,101.86681260457334,11
5,Jan 30 2020,862.2,380.0,2159.4,0.3992775771047513,0.17597480781698618,0.084311942478282,8388.6,1822.2,1.1667306953515175,181.4,35.4,107.65295315114334,13
6,Jan 31 2020,820.8,356.2,2038.0,0.40274779195289495,0.1747791952894995,0.07629018837161333,10630.4,2241.8,1.230271100867084,227.6,46.2,128.09933909648632,14
7,Feb 01 2020,756.0,335.2,1871.8,0.40388930441286464,0.17907896142750293,0.0653826200293705,13374.6,2744.2,1.2241056294049424,286.2,58.6,128.3422838817624,10
8,Feb 02 2020,637.0,266.2,1562.2,0.4077582895916016,0.17040071693765202,0.060587480403054006,16507.4,3132.8,1.1416077545368415,350.4,64.2,95.8400250976018,9
9,Feb 03 2020,484.0,218.0,1210.6,0.3998017511977532,0.18007599537419464,0.07305808049291586,20050.6,3543.2,1.1310010214504596,420.6,70.2,101.47300055772448,7
10,Feb 04 2020,430.6,206.6,1095.8,0.39295491878079947,0.18853805438948715,0.09578753487563145,23803.4,3752.8,1.0591555655904268,495.6,75.0,102.34672058003348,7
11,Feb 05 2020,400.2,199.2,1068.6,0.37450870297585626,0.18641212801796744,0.03942312803261194,27325.0,3521.6,0.9383926668087827,567.0,71.4,101.18916062465141,7
12,Feb 06 2020,329.8,167.0,898.4,0.3670970614425646,0.1858860195903829,0.06219637735002204,30773.4,3448.4,0.979213993639255,643.0,76.0,106.6522671500279,7
13,Feb 07 2020,233.6,134.4,664.6,0.3514896178152272,0.20222690340054167,0.054769434865647594,34025.6,3252.2,0.9431040482542628,725.8,82.8,127.93108198549916,8
14,Feb 08 2020,205.2,103.4,575.6,0.35649756775538566,0.179638637943016,0.05092091475080197,37050.6,3025.0,0.9301395978107128,815.6,89.8,129.92308979364194,8
15,Feb 09 2020,199.4,84.2,536.6,0.3715989563920984,0.15691390234811778,0.08888888888888889,39852.2,2801.6,0.9261487603305785,911.4,95.8,102.82384551031791,7
16,Feb 10 2020,179.0,64.4,431.2,0.41512059369202226,0.14935064935064937,0.07701891664391669,42018.8,2166.6,0.7733438035408338,991.2,79.8,105.05880925822645,7
17,Feb 11 2020,228.8,82.0,551.8,0.414642986589344,0.14860456687205512,0.10193774520180622,46669.2,4650.4,2.1464045047539924,1104.2,113.0,106.2186558839933,8
18,Feb 12 2020,295.0,120.8,749.6,0.39354322305229456,0.16115261472785486,0.09672860370231239,52019.0,5349.8,1.1503956648890419,1227.6,123.4,107.31448689347462,6
19,Feb 13 2020,293.2,127.8,759.6,0.38599262769878884,0.16824644549763032,0.06844624673562213,57275.4,5256.4,0.9825414034169501,1358.2,130.6,116.26727551589514,6
20,Feb 14 2020,258.8,121.2,708.8,0.3651241534988714,0.17099322799097066,0.03446445361974895,62560.2,5284.8,1.0054029373715851,1489.6,131.4,146.57079475738985,6
21,Feb 15 2020,246.4,124.2,703.6,0.3501989766913019,0.17652075042637863,0.07775741148855082,68168.4,5608.2,1.0611943687556766,1639.6,150.0,141.82464584495258,6
22,Feb 16 2020,238.0,118.4,682.6,0.348666861998242,0.1734544389100498,0.06648122951120627,71122.4,2954.0,0.5267287186619592,1767.0,127.4,112.99643892916899,6
23,Feb 17 2020,216.0,95.8,608.2,0.3551463334429464,0.15751397566589936,0.04341943131909666,72871.0,1748.6,0.5919431279620853,1887.0,120.0,117.11912994980479,5
24,Feb 18 2020,202.6,87.0,580.2,0.34918993450534297,0.14994829369183038,0.0759971081983589,74303.2,1432.2,0.8190552441953564,2003.4,116.4,110.81394032348021,5
25,Feb 19 2020,216.0,89.0,602.6,0.3584467308330567,0.14769332890806505,0.08416274794500596,75424.4,1121.2,0.7828515570451055,2099.8,96.4,111.87589514779698,5
26,Feb 20 2020,226.0,87.8,617.0,0.36628849270664504,0.14230145867098865,0.04476148378950797,76490.8,1066.4,0.9511237959329291,2218.0,118.2,116.79218070273285,5
27,Feb 21 2020,240.0,96.6,621.0,0.3864734299516908,0.15555555555555556,0.07405434091259246,77256.4,765.6,0.7179294823705926,2310.4,92.4,141.21081985499163,5
