,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
Smoothed Positive,1.0,0.9876509595444586,0.997476839414186,0.6524814648207644,0.4154695371766164,-0.017871920462177487,0.906989399176371,0.8927467814128767,-0.19249708964383827,0.8925735579487574,0.8251662548050512,-0.480096758817173,0.7634194891541669
Smoothed Negative,0.9876509595444586,1.0,0.9927703342589776,0.5806302082511484,0.49522340864508574,-0.08109610724894876,0.9193797077850788,0.8530511434151857,-0.17677836017672202,0.906438217902645,0.7598140210866703,-0.4118307038088192,0.7030482263980591
Smoothed Total,0.997476839414186,0.9927703342589776,1.0,0.6075646608687167,0.4245550890372539,-0.047593096253373775,0.8978127277454084,0.8682987716298894,-0.1857954144372204,0.883700994402742,0.793730713164813,-0.44640238904698853,0.7398078232877703
Percentage Positive,0.6524814648207644,0.5806302082511484,0.6075646608687167,1.0,0.3089886877625729,0.38125038881638695,0.6198863401765025,0.816274319994806,-0.00015856325604004902,0.604989969319181,0.8228826195122263,-0.742367566202076,0.7384521839297589
Percentage Negative,0.4154695371766164,0.49522340864508574,0.4245550890372539,0.3089886877625729,1.0,-0.2686605585872297,0.4818823140684325,0.41247410362040887,0.10270704668323394,0.47325109431141615,0.2866606261702466,-0.2449732686632567,0.33885449057549294
Average Sentiment,-0.017871920462177487,-0.08109610724894876,-0.047593096253373775,0.38125038881638695,-0.2686605585872297,1.0,-0.024073966823243614,0.1045744874188863,0.18184557960453102,-0.02293210929495464,0.1711558038105239,-0.20917044927848583,0.11227243612678975
Smoothed Cases,0.906989399176371,0.9193797077850788,0.8978127277454084,0.6198863401765025,0.4818823140684325,-0.024073966823243614,1.0,0.8567743664588844,-0.22702712652361534,0.998721413457194,0.7685482238529731,-0.3611569739740265,0.591355850235322
Smoothed New Cases,0.8927467814128767,0.8530511434151857,0.8682987716298894,0.816274319994806,0.41247410362040887,0.1045744874188863,0.8567743664588844,1.0,-0.22353427498053374,0.839178290276468,0.967950919207722,-0.7189294984183356,0.8322079483843215
Cases Ratio,-0.19249708964383827,-0.17677836017672202,-0.1857954144372204,-0.00015856325604004902,0.10270704668323394,0.18184557960453102,-0.22702712652361534,-0.22353427498053374,1.0,-0.22517179197247392,-0.23570397059399412,0.06766516792828454,-0.1251155079583873
Smoothed Deaths,0.8925735579487574,0.906438217902645,0.883700994402742,0.604989969319181,0.47325109431141615,-0.02293210929495464,0.998721413457194,0.839178290276468,-0.22517179197247392,1.0,0.7539608695365521,-0.33716621246161926,0.5683554866380842
Smoothed New Deaths,0.8251662548050512,0.7598140210866703,0.793730713164813,0.8228826195122263,0.2866606261702466,0.1711558038105239,0.7685482238529731,0.967950919207722,-0.23570397059399412,0.7539608695365521,1.0,-0.7460117617314606,0.8411044347288716
Mobility,-0.480096758817173,-0.4118307038088192,-0.44640238904698853,-0.742367566202076,-0.2449732686632567,-0.20917044927848583,-0.3611569739740265,-0.7189294984183356,0.06766516792828454,-0.33716621246161926,-0.7460117617314606,1.0,-0.7074044026718891
Google Trends,0.7634194891541669,0.7030482263980591,0.7398078232877703,0.7384521839297589,0.33885449057549294,0.11227243612678975,0.591355850235322,0.8322079483843215,-0.1251155079583873,0.5683554866380842,0.8411044347288716,-0.7074044026718891,1.0
