,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
0,Jan 25 2020,8,5,16,0.5,0.3125,0.03910285894660895,1434,493,,42,16,126.8904629113218,2
1,Jan 26 2020,7,4,15,0.4666666666666667,0.26666666666666666,0.08161968895302228,2118,684,1.3874239350912778,56,14,97.05691020635805,2
2,Jan 27 2020,320,217,1158,0.2763385146804836,0.18739205526770294,0.0161061719586028,2927,809,1.182748538011696,82,26,99.45085889570552,3
3,Jan 28 2020,753,666,2845,0.2646748681898067,0.23409490333919156,0.012673356581288313,5578,2651,3.276885043263288,131,49,101.35834355828221,3
4,Jan 29 2020,1165,1022,4691,0.24834790023449158,0.21786399488382008,0.012049815312671115,6166,588,0.22180309317238778,133,2,101.86681260457334,4
5,Jan 30 2020,1212,1117,4185,0.2896057347670251,0.26690561529271206,0.00609629098567603,8234,2068,3.5170068027210886,171,38,107.65295315114334,6
6,Jan 31 2020,1611,1226,5057,0.31856832113901523,0.2424362270120625,0.014967351925622185,9927,1693,0.8186653771760155,213,42,128.09933909648632,5
7,Feb 01 2020,1207,600,3275,0.3685496183206107,0.183206106870229,0.049183890832399615,12038,2111,1.2468989958653278,259,46,128.3422838817624,4
8,Feb 02 2020,969,601,3051,0.3176007866273353,0.1969845952146837,0.042518139761706326,16787,4749,2.24964471814306,362,103,95.8400250976018,4
9,Feb 03 2020,921,679,3137,0.29359260439910745,0.21644883646796304,0.029173762391678706,19887,3100,0.6527690040008423,426,64,101.47300055772448,3
10,Feb 04 2020,1115,731,3213,0.34702769996887645,0.2275132275132275,0.0404288773573794,23898,4011,1.2938709677419356,492,66,102.34672058003348,4
11,Feb 05 2020,1858,920,5345,0.34761459307764264,0.17212347988774557,0.05429680610148066,27643,3745,0.9336823734729494,564,72,101.18916062465141,5
12,Feb 06 2020,1443,899,4097,0.3522089333658775,0.2194288503783256,0.036024801924021375,30802,3159,0.843524699599466,634,70,106.6522671500279,4
13,Feb 07 2020,1993,946,5349,0.3725930080388858,0.17685548700691717,0.054439473321245116,34395,3593,1.1373852484963596,719,85,127.93108198549916,5
14,Feb 08 2020,267,152,905,0.2950276243093923,0.16795580110497238,0.025195939456199908,37129,2734,0.7609240189256888,806,87,129.92308979364194,4
15,Feb 09 2020,7,7,23,0.30434782608695654,0.30434782608695654,0.05945322793148879,40159,3030,1.1082662765179225,906,100,102.82384551031791,4
16,Feb 10 2020,1012,752,2604,0.38863287250384027,0.2887864823348694,0.02203133954205581,42768,2609,0.861056105610561,1013,107,105.05880925822645,4
17,Feb 11 2020,1491,1010,3701,0.402864090786274,0.2728992164279924,0.009462942002803324,44810,2042,0.7826753545419701,1113,100,106.2186558839933,4
18,Feb 12 2020,1297,822,3296,0.39350728155339804,0.24939320388349515,0.025384643174903642,45228,418,0.20470127326150833,1118,5,107.31448689347462,3
19,Feb 13 2020,1432,760,3668,0.3904034896401309,0.20719738276990185,0.041983940096024755,60381,15153,36.251196172248804,1371,253,116.26727551589514,3
20,Feb 14 2020,997,556,3300,0.3021212121212121,0.1684848484848485,0.03508960273612881,66908,6527,0.4307397875008249,1523,152,146.57079475738985,3
21,Feb 15 2020,906,565,3364,0.26932223543400713,0.16795481569560047,0.028129883556362905,69050,2142,0.32817527194729584,1666,143,141.82464584495258,3
22,Feb 16 2020,1249,553,3105,0.40225442834138486,0.17809983896940418,0.0656428758076113,71234,2184,1.0196078431372548,1770,104,112.99643892916899,3
23,Feb 17 2020,1768,745,4209,0.4200522689474935,0.1770016631028748,0.06388689343154196,73269,2035,0.9317765567765568,1868,98,117.11912994980479,3
24,Feb 18 2020,1250,665,3597,0.34751181540172366,0.18487628579371698,0.037844768922254336,75151,1882,0.9248157248157248,2008,140,110.81394032348021,3
25,Feb 19 2020,1198,699,3278,0.36546674801708356,0.2132397803538743,0.02304633229726133,75651,500,0.26567481402763016,2123,115,111.87589514779698,3
26,Feb 20 2020,896,714,2946,0.30414120841819414,0.24236252545824846,0.002938061253461656,76211,560,1.12,2248,125,116.79218070273285,3
27,Feb 21 2020,890,526,2701,0.32950758978156236,0.19474268789337282,0.035899334804346414,76840,629,1.1232142857142857,2252,4,141.21081985499163,2
28,Feb 22 2020,1172,570,3096,0.3785529715762274,0.18410852713178294,0.05457403877001374,78601,1761,2.7996820349761524,2459,207,142.90669827105407,2
29,Feb 23 2020,1357,831,4392,0.30897085610200364,0.18920765027322403,0.03419143601273289,78979,378,0.21465076660988075,2470,11,111.66174567763525,3
30,Feb 24 2020,1467,806,4206,0.3487874465049929,0.19163100332857821,0.030018523105907784,79543,564,1.492063492063492,2630,160,108.03497211377581,4
31,Feb 25 2020,2101,791,4737,0.4435296601224404,0.1669833227781296,0.05805176708806766,80396,853,1.5124113475177305,2710,80,109.07312325711098,5
