,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
Smoothed Positive,1.0,0.9969195886004537,0.9987490412413622,0.8328428872726508,-0.45575658080207604,0.799271603451247,0.8278048766989301,0.9673283488009853,-0.1971056056290616,0.8103714386000137,0.9196783206745419,-0.7433968093503268,0.5739630378107435
Smoothed Negative,0.9969195886004537,1.0,0.9978557079211617,0.8254191837477862,-0.41571106626965965,0.7886595626820514,0.83426138556678,0.9612410174426547,-0.18639195637973952,0.8164005326068328,0.9044647382739134,-0.72681820603318,0.5836168327417648
Smoothed Total,0.9987490412413622,0.9978557079211617,1.0,0.8168951736624679,-0.4549516855281092,0.7887563486449473,0.8325029297241938,0.9651670270726472,-0.2013418866345214,0.8150952610133738,0.9165072383275328,-0.7311801377158761,0.5608556866085098
Percentage Positive,0.8328428872726508,0.8254191837477862,0.8168951736624679,1.0,-0.3334794773497633,0.7723928379221251,0.5960522301634231,0.7860348263771303,-0.1294736386628903,0.574494660054434,0.7436007255596166,-0.6796131827740088,0.7108761779635606
Percentage Negative,-0.45575658080207604,-0.41571106626965965,-0.4549516855281092,-0.3334794773497633,1.0,-0.4564901631222985,-0.3533860814802957,-0.46596542309022865,0.49992101343963363,-0.34555645913235633,-0.4987970092481183,0.32421028053521583,-0.07970497814666187
Average Sentiment,0.799271603451247,0.7886595626820514,0.7887563486449473,0.7723928379221251,-0.4564901631222985,1.0,0.5652626313882622,0.7787777240751709,-0.20160200268812922,0.5450959004584165,0.763745593035093,-0.6667518526670667,0.6353232623645034
Smoothed Cases,0.8278048766989301,0.83426138556678,0.8325029297241938,0.5960522301634231,-0.3533860814802957,0.5652626313882622,1.0,0.8567743664588844,-0.22702712652361534,0.998721413457194,0.7685482238529731,-0.3611569739740265,0.14580674219736364
Smoothed New Cases,0.9673283488009853,0.9612410174426547,0.9651670270726472,0.7860348263771303,-0.46596542309022865,0.7787777240751709,0.8567743664588844,1.0,-0.22353427498053374,0.839178290276468,0.967950919207722,-0.7189294984183356,0.45105826574747904
Cases Ratio,-0.1971056056290616,-0.18639195637973952,-0.2013418866345214,-0.1294736386628903,0.49992101343963363,-0.20160200268812922,-0.22702712652361534,-0.22353427498053374,1.0,-0.22517179197247392,-0.23570397059399412,0.06766516792828454,0.05517717640805824
Smoothed Deaths,0.8103714386000137,0.8164005326068328,0.8150952610133738,0.574494660054434,-0.34555645913235633,0.5450959004584165,0.998721413457194,0.839178290276468,-0.22517179197247392,1.0,0.7539608695365521,-0.33716621246161926,0.11902093752510508
Smoothed New Deaths,0.9196783206745419,0.9044647382739134,0.9165072383275328,0.7436007255596166,-0.4987970092481183,0.763745593035093,0.7685482238529731,0.967950919207722,-0.23570397059399412,0.7539608695365521,1.0,-0.7460117617314606,0.4092075944445446
Mobility,-0.7433968093503268,-0.72681820603318,-0.7311801377158761,-0.6796131827740088,0.32421028053521583,-0.6667518526670667,-0.3611569739740265,-0.7189294984183356,0.06766516792828454,-0.33716621246161926,-0.7460117617314606,1.0,-0.6854320985576704
Google Trends,0.5739630378107435,0.5836168327417648,0.5608556866085098,0.7108761779635606,-0.07970497814666187,0.6353232623645034,0.14580674219736364,0.45105826574747904,0.05517717640805824,0.11902093752510508,0.4092075944445446,-0.6854320985576704,1.0
