,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
0,Jan 27 2020,0,1,1,0.0,1.0,-0.05238095238095236,2927,809,,82,26,99.45085889570552,0
1,Jan 28 2020,1,2,3,0.3333333333333333,0.6666666666666666,-0.04447089947089947,5578,2651,3.276885043263288,131,49,101.35834355828221,0
2,Jan 29 2020,6,0,6,1.0,0.0,0.05981481481481482,6166,588,0.22180309317238778,133,2,101.86681260457334,0
3,Jan 30 2020,5,2,7,0.7142857142857143,0.2857142857142857,0.08317460317460316,8234,2068,3.5170068027210886,171,38,107.65295315114334,0
4,Jan 31 2020,6,2,8,0.75,0.25,0.1204861111111111,9927,1693,0.8186653771760155,213,42,128.09933909648632,0
5,Feb 01 2020,4,1,5,0.8,0.2,0.182739898989899,12038,2111,1.2468989958653278,259,46,128.3422838817624,0
6,Feb 02 2020,1,0,1,1.0,0.0,0.03333333333333333,16787,4749,2.24964471814306,362,103,95.8400250976018,0
7,Feb 03 2020,37,3,41,0.9024390243902439,0.07317073170731707,0.04358497870692996,19887,3100,0.6527690040008423,426,64,101.47300055772448,0
8,Feb 04 2020,8,1,9,0.8888888888888888,0.1111111111111111,0.07514547181213847,23898,4011,1.2938709677419356,492,66,102.34672058003348,0
9,Feb 05 2020,6,2,8,0.75,0.25,0.04895066738816739,27643,3745,0.9336823734729494,564,72,101.18916062465141,0
10,Feb 06 2020,5,1,6,0.8333333333333334,0.16666666666666666,0.04732641036212465,30802,3159,0.843524699599466,634,70,106.6522671500279,0
11,Feb 07 2020,3,1,4,0.75,0.25,0.040798611111111105,34395,3593,1.1373852484963596,719,85,127.93108198549916,0
12,Feb 08 2020,0,0,0,0.0,0.0,0.0,37129,2734,0.7609240189256888,806,87,129.92308979364194,0
13,Feb 09 2020,0,0,0,0.0,0.0,0.0,40159,3030,1.1082662765179225,906,100,102.82384551031791,0
14,Feb 10 2020,4,0,4,1.0,0.0,0.04116319444444445,42768,2609,0.861056105610561,1013,107,105.05880925822645,0
15,Feb 11 2020,3,1,4,0.75,0.25,0.04302083333333333,44810,2042,0.7826753545419701,1113,100,106.2186558839933,0
16,Feb 12 2020,3,1,4,0.75,0.25,0.058430871212121205,45228,418,0.20470127326150833,1118,5,107.31448689347462,0
