,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
Positive,1.0,0.9852558165996281,0.9982045822742216,-0.016206497509707752,-0.09860039210983391,0.30693608462998684,0.5955851638440132,0.7847249521039202,-0.12172946943334487,0.5693813572286547,0.7165845032158671,-0.7585496739496643,0.8510331272687293
Negative,0.9852558165996281,1.0,0.991831940632603,-0.034082834809098794,-0.08123132958817757,0.2798079091887801,0.6367962525001907,0.7962083447469988,-0.12465873326940738,0.6128937763077728,0.7149974767283052,-0.7509074647747366,0.8495329084591088
Total,0.9982045822742216,0.991831940632603,1.0,-0.022490365048098846,-0.09599934761983879,0.30675982117097866,0.597208458303999,0.7913846065665253,-0.12329168074551232,0.5710879522792975,0.7216484490516349,-0.7713925936999444,0.868218079102645
Percentage Positive,-0.016206497509707752,-0.034082834809098794,-0.022490365048098846,1.0,-0.6277349106446206,0.5955822046751953,-0.02096662869955356,-0.035898744196971435,-0.35415744625932266,-0.021612938430639127,-0.01847896516868844,-0.0027090214121501433,-0.035875440093524495
Percentage Negative,-0.09860039210983391,-0.08123132958817757,-0.09599934761983879,-0.6277349106446206,1.0,-0.580067848069516,-0.03282462574820818,-0.07065434896394399,0.5470175835661052,-0.02830060787812927,-0.08547530572603514,0.12178649387061716,-0.10491345211085981
Average Sentiment,0.30693608462998684,0.2798079091887801,0.30675982117097866,0.5955822046751953,-0.580067848069516,1.0,0.11259753881114176,0.2750682261393622,-0.517782506327841,0.09679624827871706,0.29094671931582394,-0.26745867897204423,0.3531693461488549
Cases,0.5955851638440132,0.6367962525001907,0.597208458303999,-0.02096662869955356,-0.03282462574820818,0.11259753881114176,1.0,0.8456193286525614,-0.09789549245143316,0.9986709607257049,0.7419982198390042,-0.3536311389031192,0.3285565980870682
New Cases,0.7847249521039202,0.7962083447469988,0.7913846065665253,-0.035898744196971435,-0.07065434896394399,0.2750682261393622,0.8456193286525614,1.0,-0.08836054230866512,0.8284473118625314,0.9479509486192654,-0.7060928211817302,0.6737034542775463
Cases Ratio,-0.12172946943334487,-0.12465873326940738,-0.12329168074551232,-0.35415744625932266,0.5470175835661052,-0.517782506327841,-0.09789549245143316,-0.08836054230866512,1.0,-0.09519748318370831,-0.1070245374029041,0.09962412119912828,-0.11358125350551707
Deaths,0.5693813572286547,0.6128937763077728,0.5710879522792975,-0.021612938430639127,-0.02830060787812927,0.09679624827871706,0.9986709607257049,0.8284473118625314,-0.09519748318370831,1.0,0.7288599588367406,-0.32948977361570625,0.2987752724284918
New Deaths,0.7165845032158671,0.7149974767283052,0.7216484490516349,-0.01847896516868844,-0.08547530572603514,0.29094671931582394,0.7419982198390042,0.9479509486192654,-0.1070245374029041,0.7288599588367406,1.0,-0.7120839720045541,0.6495908322367665
Mobility,-0.7585496739496643,-0.7509074647747366,-0.7713925936999444,-0.0027090214121501433,0.12178649387061716,-0.26745867897204423,-0.3536311389031192,-0.7060928211817302,0.09962412119912828,-0.32948977361570625,-0.7120839720045541,1.0,-0.8267952827038053
Google Trends,0.8510331272687293,0.8495329084591088,0.868218079102645,-0.035875440093524495,-0.10491345211085981,0.3531693461488549,0.3285565980870682,0.6737034542775463,-0.11358125350551707,0.2987752724284918,0.6495908322367665,-0.8267952827038053,1.0
