,id,full_text,tokens,date,sentiment
169053,1261835872267194368,"@PattyMakesSense @JacksonWinslow3 She should use a mask, purpose 1 protects her from getting Coronavirus purpose 2 protect the rest of us from having to see her, she looks like her face caught on fire 🔥 and and someone put it out with a rake🪁","['use', 'mask', 'purpose', '1', 'protects', 'getting', 'coronavirus', 'purpose', '2', 'protect', 'rest', 'us', 'see', 'looks', 'like', 'face', 'caught', 'fire', 'someone', 'put', 'rake']",2020-05-17,0.0
1393,1249775655778021376,"My mother is a RN, she came back to here normal hospital only to find out 10 coworkers have covid-19 and they were actively being told they COULDN’T wear masks during that time. What the fuck are we doing to our people?","['mother', 'rn', 'came', 'back', 'normal', 'hospital', 'find', '10', 'coworkers', 'covid19', 'actively', 'told', 'couldnt', 'wear', 'masks', 'time', 'fuck', 'people']",2020-04-13,-0.07666666666666601
325806,1246790632363917312,its funny bc they made it illegal here to wear “masks” that “cover your face” in an attempt to further oppress muslim women who wear burkas/niqabs and now theres talk about whether ppl should be wearing masks in public to slow the spread of covid19 like its literally illegal,"['funny', 'bc', 'made', 'illegal', 'wear', 'masks', 'cover', 'face', 'attempt', 'oppress', 'muslim', 'women', 'wear', 'burkasniqabs', 'theres', 'talk', 'whether', 'ppl', 'wearing', 'masks', 'public', 'slow', 'spread', 'covid19', 'like', 'literally', 'illegal']",2020-04-05,-0.17500000000000002
179160,1260856648333234177,"Stay safe with our reusable facemasks!


#chiswick #coronavirus #facemask #StaySafe #COVID","['stay', 'safe', 'reusable', 'facemasks', 'chiswick', 'coronavirus', 'facemask', 'staysafe', 'covid']",2020-05-14,0.625
192677,1261981970898268160,"The decision emphasized the sterilization of churches before and after prayers, the sterilization of the worshippers’ hands before entering the church, and urged people to wear masks during prayer in order to preserve public health.","['decision', 'emphasized', 'sterilization', 'churches', 'prayers', 'sterilization', 'worshippers', 'hands', 'entering', 'church', 'urged', 'people', 'wear', 'masks', 'prayer', 'order', 'preserve', 'public', 'health']",2020-05-17,0.0
363217,1249358376334774273,Mask up😷😷😷 #COVID19 #coronavirus #ATL #Atlanta #StayHome #ACNH #AnimalCrossingNewHorizons #RipFortnite,"['mask', 'covid19', 'coronavirus', 'atl', 'atlanta', 'stayhome', 'acnh', 'animalcrossingnewhorizons', 'ripfortnite']",2020-04-12,0.0
186395,1261136241166217217,Recently in my county: Fake news bruh! Fake news! It’s a government cover up dude. It’s the new world order bro! It’s just the flu man! Don’t wear a mask it’s just the government controlling you! #COVIDー19 #CoronaVirusUpdates #Coronaviruscoverup #coronavirus,"['recently', 'county', 'fake', 'news', 'bruh', 'fake', 'news', 'government', 'cover', 'dude', 'new', 'world', 'order', 'bro', 'flu', 'man', 'dont', 'wear', 'mask', 'government', 'controlling', 'covidー19', 'coronavirusupdates', 'coronaviruscoverup', 'coronavirus']",2020-05-15,-0.245916193181818
190105,1261931022960058368,RT @Bankers_United: Wearing N95 masks results in hypooxygenemia and; hypercapnia which reduce working efficiency and; ability to make correct dec…,"['rt', 'wearing', 'n95', 'masks', 'results', 'hypooxygenemia', 'hypercapnia', 'reduce', 'working', 'efficiency', 'ability', 'make', 'correct', 'dec']",2020-05-17,0.0
85842,1255685292406845440,"I think #DonaldJTrump selected members of his administration, family members have the #Antidote to #coronaVirus this is why #Pence didn't put on a #mask at the #MayoClinic","['think', 'donaldjtrump', 'selected', 'members', 'administration', 'family', 'members', 'antidote', 'coronavirus', 'pence', 'didnt', 'put', 'mask', 'mayoclinic']",2020-04-30,0.0
51866,1253240852756996102,"It’s 0433...these mask lines feel like they’re 1/4” deep in my face. I just want to go home....but who knows when that’ll happen.
#pandemicparamedic #covid19
#stayhome","['0433these', 'mask', 'lines', 'feel', 'like', 'theyre', '14', 'deep', 'face', 'want', 'go', 'homebut', 'knows', 'thatll', 'happen', 'pandemicparamedic', 'covid19', 'stayhome']",2020-04-23,0.0
