,id,full_text,tokens,date,sentiment
1188379,1243754630158442497,"Practicing a few Yoga exersises can increase your immune system to fight Corona Virus to spread.Stay at home,do yoga,stay safe.
#KWGroup #kwdephi6 #kwbluepearl #SocialDistancing #CoronaVirus #JantaCurfew #IndiaFightsCorona #Quarantine #CoronaFighters #Covid19 #CoronavirusOutbreak","['practicing', 'yoga', 'exersises', 'increase', 'immune', 'system', 'fight', 'corona', 'virus', 'spreadstay', 'homedo', 'yogastay', 'safe', 'kwgroup', 'kwdephi6', 'kwbluepearl', 'socialdistancing', 'coronavirus', 'jantacurfew', 'indiafightscorona', 'quarantine', 'coronafighters', 'covid19', 'coronavirusoutbreak']",2020-03-28,0.15
965747,1232927339647889409,"Live: All Wuhan returnees in 14-day quarantine
 
Download the TOI app now:","['live', 'wuhan', 'returnees', '14day', 'quarantine', 'download', 'toi', 'app']",2020-02-27,0.13636363636363602
805789,1261888131583877120,RT @incognito_doc: A person who was in quarantine at Nepalgunj found dead. Swab report pending. #Nepal #COVID19 #COVID2019,"['rt', 'person', 'quarantine', 'nepalgunj', 'found', 'dead', 'swab', 'report', 'pending', 'nepal', 'covid19', 'covid2019']",2020-05-17,-0.2
1163877,1241396354653487105,Please help me in my self isolation journey... ❤ #CoronavirusPandemic #COVIDー19 #SaturdayMorning #Covid_19 #QuaratineAndChill #SelfIsolation,"['please', 'help', 'self', 'isolation', 'journey', 'coronaviruspandemic', 'covidー19', 'saturdaymorning', 'covid_19', 'quaratineandchill', 'selfisolation']",2020-03-21,0.0
494022,1258322829835218945,The Lockdown Diary: 6 May 2020. A few thoughts and observations about living the #COVID19 lockdown. We’re all in this together. How are you coping?,"['lockdown', 'diary', '6', 'may', '2020', 'thoughts', 'observations', 'living', 'covid19', 'lockdown', 'together', 'coping']",2020-05-07,-0.2
275145,1254757352810651650,It's #MondayFunday! Can you find these SEC teams in the word search? Solve and send to us to be entered into a raffle for a prize! You must submit within 24 hours! Good luck! #LodgeofAthensLiving #AthensGa #UGA #UniversityofGA #Quarantine #coronavirus #covid-19 #SEC,"['mondayfunday', 'find', 'sec', 'teams', 'word', 'search', 'solve', 'send', 'us', 'entered', 'raffle', 'prize', 'must', 'submit', 'within', '24', 'hours', 'good', 'luck', 'lodgeofathensliving', 'athensga', 'uga', 'universityofga', 'quarantine', 'coronavirus', 'covid19', 'sec']",2020-04-27,0.20625000000000002
1094265,1240354577922342913,"Italy charges more than 40,000 people with violating lockdown","['italy', 'charges', '40000', 'people', 'violating', 'lockdown']",2020-03-18,0.5
295049,1253219876535230465,"Coronavirus Florida: Majority doesn't want lockdown lifted unless health officials say its safe, poll ...  #LOCKDOWN Florida leaders plowed ahead Wednesday with plans to end a statewide lockdown that was imposed to contain the coronavirus, even as new pol…","['coronavirus', 'florida', 'majority', 'doesnt', 'want', 'lockdown', 'lifted', 'unless', 'health', 'officials', 'say', 'safe', 'poll', 'lockdown', 'florida', 'leaders', 'plowed', 'ahead', 'wednesday', 'plans', 'end', 'statewide', 'lockdown', 'imposed', 'contain', 'coronavirus', 'even', 'new', 'pol']",2020-04-23,0.318181818181818
1111862,1241597837370109954,Lock down looming in Kenya. Brace for hard times. What movies can someone watch while hungry!? #CoronavirusPandemic #StayAtHome,"['lock', 'looming', 'kenya', 'brace', 'hard', 'times', 'movies', 'someone', 'watch', 'hungry', 'coronaviruspandemic', 'stayathome']",2020-03-22,-0.260069444444444
546500,1256961431439921154,"🦠The #Coronavirus is a recruitment opportunity for U.S. extremists. Last month, the Dept of Homeland Security warned law enforcement of the mobilization of violent extremists in response to stay-at-home measures🔥","['coronavirus', 'recruitment', 'opportunity', 'us', 'extremists', 'last', 'month', 'dept', 'homeland', 'security', 'warned', 'law', 'enforcement', 'mobilization', 'violent', 'extremists', 'response', 'stayathome', 'measures']",2020-05-03,-0.4
