,id,full_text,tokens,date,sentiment
208780,1240761345580163073,Working from home is not too bad after all. The city is in a lockdown mode now. Let’s work together to stop spreading Coronavirus.  #coronavirus #socialdistancing #socialdistancing2020 #covid-19 #lockdown2020…,"['working', 'home', 'bad', 'city', 'lockdown', 'mode', 'lets', 'work', 'together', 'stop', 'spreading', 'coronavirus', 'coronavirus', 'socialdistancing', 'socialdistancing2020', 'covid19', 'lockdown2020']",2020-03-19,-0.6999999999999991
49652,1254475379168833536,"@SenTomCotton Aren’t you pulling a Devin Nunes with that idiot from Texas and trying to sue China for the spread of the coronavirus...while your state of Arkansas practices blatant anti social distancing that directly causes the spread of coronavirus?
So I guess we can sue you too...right?","['arent', 'pulling', 'devin', 'nunes', 'idiot', 'texas', 'trying', 'sue', 'china', 'spread', 'coronaviruswhile', 'state', 'arkansas', 'practices', 'blatant', 'anti', 'social', 'distancing', 'directly', 'causes', 'spread', 'coronavirus', 'guess', 'sue', 'tooright']",2020-04-26,-0.291666666666666
126657,1259605911808720899,"As restrictions ease South Korea records new Covid-19 cases, social distancing rules flouted in Italy #asia #coronaviruspandemic #uk-europe #video #world","['restrictions', 'ease', 'south', 'korea', 'records', 'new', 'covid19', 'cases', 'social', 'distancing', 'rules', 'flouted', 'italy', 'asia', 'coronaviruspandemic', 'ukeurope', 'video', 'world']",2020-05-10,0.08484848484848401
160514,1261939512231571460,"There have been 10 confirmed cases of #COVID19 in #Seychelles up to this moment, of which 0 people died (0 today). There are  no patients in critical condition. #WearAMask #SocialDistancing","['10', 'confirmed', 'cases', 'covid19', 'seychelles', 'moment', '0', 'people', 'died', '0', 'today', 'patients', 'critical', 'condition', 'wearamask', 'socialdistancing']",2020-05-17,0.2
93933,1257972535339003904,Coronavirus: South Korea records zero domestic cases for third successive day as social distancing relaxes #Coronavirus,"['coronavirus', 'south', 'korea', 'records', 'zero', 'domestic', 'cases', 'third', 'successive', 'day', 'social', 'distancing', 'relaxes', 'coronavirus']",2020-05-06,0.011111111111111
114908,1257794209207037952,"Hmmmmm... #COVID19 infections rising in the same rural areas where trump's people...the ones thinking it's a #CoronaHoax, that it's overblown...are. #CovidIdiots
#SocialDistancing #COVIDIOTS
#covidhoax #CovidiotInChief #COVIDIOT...seeing a theme here?","['hmmmmm', 'covid19', 'infections', 'rising', 'rural', 'areas', 'trumps', 'peoplethe', 'ones', 'thinking', 'coronahoax', 'overblownare', 'covididiots', 'socialdistancing', 'covidiots', 'covidhoax', 'covidiotinchief', 'covidiotseeing', 'theme']",2020-05-05,0.0
115111,1257810579756060672,"The IHME models were made on a set of assumptions, like actual social distancing by people, that never occurred. The new model is based on assumptions of #TestTraceIsolate that won't happen either. This will be #GOPGenocide","['ihme', 'models', 'made', 'set', 'assumptions', 'like', 'actual', 'social', 'distancing', 'people', 'never', 'occurred', 'new', 'model', 'based', 'assumptions', 'testtraceisolate', 'wont', 'happen', 'either', 'gopgenocide']",2020-05-05,0.05656565656565601
156604,1261036628916789248,"All wards @Covid19Nvg have there perculiarities and that of Television axis was no exception. The ward coordinator saw a need to preach social distancing, wearing of face mask, and also as part of service to humanity. Put by @ncdcgov  and; @govkaduna to fight against Covid-19 #NCDC","['wards', 'perculiarities', 'television', 'axis', 'exception', 'ward', 'coordinator', 'saw', 'need', 'preach', 'social', 'distancing', 'wearing', 'face', 'mask', 'also', 'part', 'service', 'humanity', 'put', 'fight', 'covid19', 'ncdc']",2020-05-14,0.033333333333333
327272,1248997869413163008,@CHRlSBLAlN Sorry to hear of your loss... I have family members that have lost people to COVID-19 as well and it infuriates me to see people flouting social distancing 😞,"['sorry', 'hear', 'loss', 'family', 'members', 'lost', 'people', 'covid19', 'well', 'infuriates', 'see', 'people', 'flouting', 'social', 'distancing']",2020-04-11,-0.23333333333333303
332740,1248325248426168323,NEW on the Bayshore blog: We answer common questions about #socialdistancing and how it helps you and your loved ones avoid catching the #COVID19 virus.,"['new', 'bayshore', 'blog', 'answer', 'common', 'questions', 'socialdistancing', 'helps', 'loved', 'ones', 'avoid', 'catching', 'covid19', 'virus']",2020-04-09,0.284090909090909
